ç
"Município","ibge","latitude","longitude","/Energia Elétr...umo/Residencial 1998 (MWh)"
"Água Santa","4300059","-28.167200000000","-52.030999999990","455"
"Agudo","4300109","-29.644700000000","-53.251500000000","3.368"
"Ajuricaba","4300208","-28.234200000000","-53.775700000000","1.805"
"Alecrim","4300307","-27.657900000000","-54.764899999990","1.042"
"Alegrete","4300406","-29.790199999990","-55.794899999990","37.713"
"Alegria","4300455","-27.834499999990","-54.055700000000","706"
"Alpestre","4300505","-27.250200000000","-53.034100000000","820"
"Alto Feliz","4300570","-29.391900000000","-51.312300000000","621"
"Alvorada","4300604","-29.991399999990","-51.080900000000","78.041"
"Amaral Ferrador","4300638","-30.875599999990","-52.250999999990","446"
"Ametista do Sul","4300646","-27.360700000000","-53.183000000000","9"
"André da Rocha","4300661","-28.628299999990","-51.579700000000","212"
"Anta Gorda","4300703","-28.969799999990","-52.010199999990","1.121"
"Antônio Prado","4300802","-28.856500000000","-51.288300000000","4.962"
"Arambaré","4300851","-30.909300000000","-51.504600000000","2.298"
"Araricá","4300877","-29.616800000000","-50.929099999990","1.976"
"Aratiba","4300901","-27.397800000000","-52.297499999990","1.362"
"Arroio do Meio","4301008","-29.401399999990","-51.955700000000","6.845"
"Arroio do Sal","4301057","-29.543900000000","-49.889499999990","5.993"
"Arroio do Tigre","4301206","-29.334800000000","-53.096600000000","1.883"
"Arroio dos Ratos","4301107","-30.087500000000","-51.727499999990","6.140"
"Arroio Grande","4301305","-32.232700000000","-53.086199999990","6.849"
"Arvorezinha","4301404","-28.873699999990","-52.178100000000","2.384"
"Augusto Pestana","4301503","-28.517299999990","-53.988300000000","1.772"
"Áurea","4301552","-27.693600000000","-52.050500000000","592"
"Bagé","4301602","-31.329699999990","-54.099899999990","56.798"
"Balneário Pinhal","4301636","-30.241900000000","-50.233600000000","8.731"
"Barão","4301651","-29.372500000000","-51.494900000000","76"
"Barão de Cotegipe","4301701","-27.620799999990","-52.379800000000","1.372"
"Barão do Triunfo","4301750","-30.389099999990","-51.738399999990","37"
"Barra do Guarita","4301859","-27.192699999990","-53.710900000000","568"
"Barra do Quaraí","4301875","-30.202900000000","-57.549700000000","1.009"
"Barra do Ribeiro","4301909","-30.293900000000","-51.301400000000","5.181"
"Barra do Rio Azul","4301925","-27.406800000000","-52.408400000000","148"
"Barra Funda","4301958","-27.920500000000","-53.039099999990","510"
"Barracão","4301800","-27.673900000000","-51.458599999990","1.028"
"Barros Cassal","4302006","-29.094700000000","-52.583599999990","1.189"
"Benjamin Constant do Sul","4302055","-27.508600000000","-52.599499999990","107"
"Bento Gonçalves","4302105","-29.166200000000","-51.516500000000","53.199"
"Boa Vista das Missões","4302154","-27.667100000000","-53.310200000000","..."
"Boa Vista do Buricá","4302204","-27.669300000000","-54.108199999990","2.100"
"Boa Vista do Sul","4302253","-29.354399999990","-51.668700000000","176"
"Bom Jesus","4302303","-28.669699999990","-50.429499999990","3.724"
"Bom Princípio","4302352","-29.485600000000","-51.354799999990","4.025"
"Bom Progresso","4302378","-27.539899999990","-53.871600000000","414"
"Bom Retiro do Sul","4302402","-29.608599999990","-51.946399999990","4.322"
"Boqueirão do Leão","4302451","-29.304600000000","-52.428400000000","2"
"Bossoroca","4302501","-28.729099999990","-54.903500000000","..."
"Braga","4302600","-27.617300000000","-53.740499999990","778"
"Brochier","4302659","-29.550100000000","-51.594499999990","795"
"Butiá","4302709","-30.117899999990","-51.960099999990","8.985"
"Caçapava do Sul","4302808","-30.514399999990","-53.482700000000","11.901"
"Cacequi","4302907","-29.888300000000","-54.822000000000","5.670"
"Cachoeira do Sul","4303004","-30.033000000000","-52.892800000000","39.485"
"Cachoeirinha","4303103","-29.947199999990","-51.101599999990","61.745"
"Cacique Doble","4303202","-27.766999999990","-51.659700000000","676"
"Caiçara","4303400","-27.279100000000","-53.425699999990","741"
"Camaquã","4303509","-30.848900000000","-51.804299999990","23.883"
"Camargo","4303558","-28.588000000000","-52.200299999990","393"
"Cambará do Sul","4303608","-29.047400000000","-50.146500000000","2.603"
"Campestre da Serra","4303673","-28.792600000000","-51.094099999990","753"
"Campina das Missões","4303707","-27.988800000000","-54.841700000000","1.287"
"Campinas do Sul","4303806","-27.717400000000","-52.624800000000","2.109"
"Campo Bom","4303905","-29.674700000000","-51.060600000000","31.972"
"Campo Novo","4304002","-27.679200000000","-53.805199999990","1.845"
"Candelária","4304200","-29.668399999990","-52.789499999990","6.686"
"Cândido Godói","4304309","-27.951499999990","-54.751700000000","1.103"
"Candiota","4304358","-31.551500000000","-53.677300000000","3.451"
"Canela","4304408","-29.356000000000","-50.811900000000","17.235"
"Canguçu","4304507","-31.396000000000","-52.678199999990","6.868"
"Canoas","4304606","-29.912800000000","-51.185699999990","176.930"
